term_id,entity_id,entity_type,term,aliases,definition,category,source_refs,review_status,generated_by
glossary_field_aggregator,field_aggregator,DataField,aggregator,,AGGREGATOR identifies the AS and BGP speaker that performed route aggregation when the attribute is present.,object,rfc4271,approved,scripts/build_glossary.py
glossary_concept_announcement,concept_announcement,BGPConcept,Announcement,Route announcement,An announcement is BGP information indicating reachability for a prefix through a path and attributes.,BGP消息与数据,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_evidence_moas,evidence_moas,EvidenceTemplate,anomaly_moas,,prefix；origin_as_set；historical_origin_as_set；ownership_or_authorization_evidence；collector_observations,EvidenceTemplate,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_evidence_origin_change,evidence_origin_change,EvidenceTemplate,anomaly_origin_change,,target_prefix；previous_origin_as；new_origin_as；time_window；collector_peer_observations；authorization_check,EvidenceTemplate,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_evidence_path_hijack,evidence_path_hijack,EvidenceTemplate,anomaly_path_hijack,,target_prefix；historical_as_path；event_as_path；changed_path_segment；collector_observations；path_authority_or_policy_evidence,EvidenceTemplate,rfc4271|bgpshield_2025|context_2026,approved,scripts/build_glossary.py
glossary_evidence_path_manipulation,evidence_path_manipulation,EvidenceTemplate,anomaly_path_manipulation,,historical_as_path；event_as_path；changed_segment；collector_coverage；relationship_or_policy_context,EvidenceTemplate,rfc4271|bgpshield_2025|context_2026,approved,scripts/build_glossary.py
glossary_evidence_prefix_hijack,evidence_prefix_hijack,EvidenceTemplate,anomaly_prefix_hijack,,target_prefix；historical_origin_as；event_origin_as；before_event_as_path；after_event_as_path；collector_peer_observations；prefix_ownership_evidence,EvidenceTemplate,rfc6811|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_evidence_prefix_outage,evidence_prefix_outage,EvidenceTemplate,anomaly_prefix_outage,,target_prefix；reachable_vp_set_before；reachable_vp_set_during；withdrawal_updates；as_path_disappearance；start_time；end_time；collector_coverage,EvidenceTemplate,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_evidence_route_leak,evidence_route_leak,EvidenceTemplate,anomaly_route_leak,,before_event_as_path；after_event_as_path；as_relationship_sequence；suspected_leaker_as；valley_free_violation；affected_prefixes；collector_observations,EvidenceTemplate,rfc7908|rfc9234|beam_2024|context_2026,approved,scripts/build_glossary.py
glossary_evidence_subprefix_hijack,evidence_subprefix_hijack,EvidenceTemplate,anomaly_subprefix_hijack,,victim_prefix；more_specific_prefix；historical_origin_as_of_parent_prefix；event_origin_as_of_subprefix；before_event_paths；after_event_paths；collector_coverage,EvidenceTemplate,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_concept_as,concept_as,BGPConcept,AS,Autonomous System,An AS is an independently managed network or group of networks that participates in inter-domain routing under a common routing policy.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_concept_as_relationship,concept_as_relationship,BGPConcept,AS Relationship,AS business relationship,AS relationship describes inferred or known business and routing relationships such as provider-customer and peer-peer links between ASes.,AS关系与路由策略,caida_as_relationships|rfc7908|context_2026,approved,scripts/build_glossary.py
glossary_fp_as_relationship_error,fp_as_relationship_error,FalsePositivePattern,AS relationship inference error,,"Route leak conclusions can be wrong when AS relationship data is inaccurate, outdated, or too coarse for prefix/location-specific policy.",FalsePositivePattern,caida_as_relationships|rfc7908|context_2026,approved,scripts/build_glossary.py
glossary_concept_as_path,concept_as_path,BGPConcept,AS_PATH,AS path|AS-level path,AS_PATH is the ordered path attribute listing ASNs that a BGP route announcement has traversed.,路径与属性,rfc4271|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_field_as_path,field_as_path,DataField,as_path,,Ordered sequence of ASNs in the route announcement.,list[int],rfc4271|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_as_path_prepending,mechanism_as_path_prepending,RoutingMechanism,AS_PATH Prepending,,AS_PATH prepending repeats an ASN in the path to influence route selection by making a path appear longer.,RoutingMechanism,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_field_as_relationship_sequence,field_as_relationship_sequence,DataField,as_relationship_sequence,,Sequence of provider-customer or peer-peer relationships along an AS_PATH.,list[string],rfc7908|caida_as_relationships|context_2026,approved,scripts/build_glossary.py
glossary_concept_asn,concept_asn,BGPConcept,ASN,AS number,An ASN is the numeric identifier assigned to an autonomous system and used in BGP paths and policy.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_datasource_aspa,datasource_aspa,DataSource,ASPA,,Autonomous System Provider Authorization records allow an AS holder to authorize upstream provider ASNs and support BGP path verification and route-leak prevention work.,RPKI path authorization,arin_aspa_doc|ripe_aspa_doc|rfc6480,approved,scripts/build_glossary.py
glossary_mechanism_aspa_path_verification,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,,ASPA-based path verification uses RPKI ASPA objects that authorize upstream providers to evaluate whether AS paths are plausible with respect to provider relationships.,RoutingMechanism,arin_aspa_doc|ripe_aspa_doc,approved,scripts/build_glossary.py
glossary_field_asrank_rank,field_asrank_rank,DataField,asrank_rank,,ASRank rank is a topology-derived ranking value for an AS in CAIDA ASRank outputs.,integer,caida_asrank_api,approved,scripts/build_glossary.py
glossary_field_asrank_relationship,field_asrank_relationship,DataField,asrank_relationship,,Relationship field describes inferred AS link relationship in ASRank or CAIDA relationship data.,"enum(peer,customer,provider,sibling,unknown)",caida_asrank_api|caida_as_relationships,approved,scripts/build_glossary.py
glossary_field_atomic_aggregate,field_atomic_aggregate,DataField,atomic_aggregate,,ATOMIC_AGGREGATE indicates that route aggregation occurred and some AS path detail may have been lost.,boolean_attribute,rfc4271,approved,scripts/build_glossary.py
glossary_paper_method_bear,paper_method_bear,PaperMethod,BEAR: BGP Event Analysis and Reporting,,BGP anomaly event explanation,PaperMethod,bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_before_after_path_comparison,mechanism_before_after_path_comparison,RoutingMechanism,Before-after AS path comparison,,"A BGP event can be explained by comparing historical, pre-event, and post-event AS paths for affected prefixes.",RoutingMechanism,bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_concept_bgp,concept_bgp,BGPConcept,BGP,Border Gateway Protocol,BGP is the inter-domain routing protocol used by autonomous systems to exchange reachability information for IP prefixes.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_bgp_decision_process,mechanism_bgp_decision_process,RoutingMechanism,BGP Decision Process,,The BGP decision process selects routes from Adj-RIBs-In into the Loc-RIB and organizes selected routes for advertisement through Adj-RIBs-Out.,RoutingMechanism,rfc4271,approved,scripts/build_glossary.py
glossary_mechanism_rib_model,mechanism_rib_model,RoutingMechanism,BGP RIB Model,,"BGP conceptually separates learned routes, selected local routes, and advertised routes into Adj-RIBs-In, Loc-RIB, and Adj-RIBs-Out.",RoutingMechanism,rfc4271|ripe_ris_raw_data|routeviews_archive_index,approved,scripts/build_glossary.py
glossary_mechanism_route_leak_roles_otc,mechanism_route_leak_roles_otc,RoutingMechanism,BGP Roles and OTC Route Leak Prevention,,RFC9234 uses configured BGP Roles and the Only to Customer path attribute to prevent and detect certain route leaks during ingress and egress processing.,RoutingMechanism,rfc9234,approved,scripts/build_glossary.py
glossary_concept_bgp_session,concept_bgp_session,BGPConcept,BGP Session,BGP peering session,A BGP session is a peering relationship between BGP speakers over which routing information is exchanged.,BGP基础,rfc4271|ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
glossary_concept_bgp_speaker,concept_bgp_speaker,BGPConcept,BGP Speaker,BGP router,A BGP speaker is a router or process that participates in BGP and exchanges routing information with peers.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_concept_bgp_update,concept_bgp_update,BGPConcept,BGP Update,Update message,A BGP Update message announces new route attributes or withdraws previously announced reachability.,BGP消息与数据,rfc4271|bgpstream_docs|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_update_withdrawal,mechanism_update_withdrawal,RoutingMechanism,BGP Update and Withdrawal Propagation,,BGP UPDATE messages announce feasible routes with path attributes and NLRI or withdraw previously advertised routes from service.,RoutingMechanism,rfc4271|ripe_ris_raw_data|bgpstream_docs,approved,scripts/build_glossary.py
glossary_field_bgp_identifier,field_bgp_identifier,DataField,bgp_identifier,,BGP Identifier is a four-octet identifier included in the OPEN message to identify a BGP speaker.,ipv4_address,rfc4271,approved,scripts/build_glossary.py
glossary_field_bgp_role,field_bgp_role,DataField,bgp_role,,BGP Role characterizes the configured relationship between eBGP speakers for route leak prevention and detection procedures.,"enum(provider,customer,rs,rs_client,peer)",rfc9234,approved,scripts/build_glossary.py
glossary_mechanism_bgpsec_path_validation,mechanism_bgpsec_path_validation,RoutingMechanism,BGPsec Path Validation,,BGPsec extends BGP with path security mechanisms intended to protect the AS path in UPDATE messages using BGPsec path attributes and router certificates.,RoutingMechanism,rfc8205|rfc6480,approved,scripts/build_glossary.py
glossary_paper_method_bgpshield,paper_method_bgpshield,PaperMethod,BGPShield,,BGP anomaly detection using AS semantic descriptions,PaperMethod,bgpshield_2025|context_2026,pending,scripts/build_glossary.py
glossary_concept_bgpstream,concept_bgpstream,BGPConcept,BGPStream,CAIDA BGPStream,BGPStream is an open-source framework for accessing and processing live and historical BGP measurement data.,BGP消息与数据,bgpstream_docs|context_2026,approved,scripts/build_glossary.py
glossary_datasource_bgpstream,datasource_bgpstream,DataSource,BGPStream,,BGPStream is an open-source framework for accessing and processing live and historical BGP data from multiple underlying sources.,BGP data framework,bgpstream_docs|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_datasource_caida_as_relationships,datasource_caida_as_relationships,DataSource,CAIDA AS Relationships,,CAIDA AS Relationships provides inferred AS business relationships and customer-cone related topology data for Internet topology and routing analysis.,AS relationship dataset,caida_as_relationships|context_2026,approved,scripts/build_glossary.py
glossary_datasource_caida_asrank,datasource_caida_asrank,DataSource,CAIDA ASRank,,"CAIDA ASRank provides API access to AS ranking, organization, degree, customer cone, and AS-link relationship data derived from Internet topology measurements.",AS topology API,caida_asrank_api|caida_as_relationships,approved,scripts/build_glossary.py
glossary_case_celerbridge_bgp_hijack,case_celerbridge_bgp_hijack,Case,CelerBridge BGP Hijack,,case_celerbridge_bgp_hijack,Prefix Hijack,bgpshield_2025|context_2026,pending,scripts/build_glossary.py
glossary_field_collector,field_collector,DataField,collector,,Collector name or ID where the BGP observation was made.,string,routeviews_api_doc|ripe_ris_docs|bgpstream_docs|context_2026,approved,scripts/build_glossary.py
glossary_concept_customer_cone,concept_customer_cone,BGPConcept,Customer Cone,AS customer cone,"A customer cone is the set of ASes, prefixes, or addresses reachable from an AS by following customer links in an AS relationship graph.",AS关系与路由策略,caida_as_relationships|context_2026,approved,scripts/build_glossary.py
glossary_field_customer_cone_asns,field_customer_cone_asns,DataField,customer_cone_asns,,Customer cone ASNs describe the ASes reachable from an AS through customer links in a topology-derived relationship graph.,integer_or_set,caida_asrank_api|caida_as_relationships,approved,scripts/build_glossary.py
glossary_concept_ebgp,concept_ebgp,BGPConcept,eBGP,External BGP,eBGP is BGP used between different autonomous systems.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_case_facebook_2021_outage,case_facebook_2021_outage,Case,Facebook 2021 Outage,,case_facebook_2021_outage,Prefix Outage,facebook_outage_cloudflare_2021|facebook_outage_meta_2021|context_2026,pending,scripts/build_glossary.py
glossary_concept_fib,concept_fib,BGPConcept,FIB,Forwarding Information Base,A FIB is the forwarding table used by a router to forward packets after route selection.,BGP消息与数据,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_field_hold_time,field_hold_time,DataField,hold_time,,Hold Time is negotiated in the OPEN message and controls the maximum time between received KEEPALIVE or UPDATE messages before the session is considered failed.,integer_seconds,rfc4271,approved,scripts/build_glossary.py
glossary_concept_ibgp,concept_ibgp,BGPConcept,iBGP,Internal BGP,iBGP is BGP used within a single autonomous system to distribute BGP-learned routes internally.,BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_case_indosat_route_leak,case_indosat_route_leak,Case,Indosat Route Leak,,case_indosat_route_leak,Route Leak,indosat_route_leak_2014|context_2026,pending,scripts/build_glossary.py
glossary_concept_irr,concept_irr,BGPConcept,IRR,Internet Routing Registry,IRR data contains routing policy and route object records that can support prefix and origin-AS interpretation.,BGP安全,rfc2622|context_2026,approved,scripts/build_glossary.py
glossary_paper_method_beam,paper_method_beam,PaperMethod,Learning with Semantics / BEAM,,Semantics-aware BGP routing anomaly detection,PaperMethod,beam_2024|context_2026,approved,scripts/build_glossary.py
glossary_fp_legitimate_moas,fp_legitimate_moas,FalsePositivePattern,Legitimate MOAS,,"Multiple origin ASes can be legitimate because of anycast, multi-homing, managed services, or operational transition.",FalsePositivePattern,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_field_local_pref,field_local_pref,DataField,local_pref,,"LOCAL_PREF is a BGP path attribute used inside an AS to express route preference, where higher preference is selected before lower preference under the decision process.",integer,rfc4271,approved,scripts/build_glossary.py
glossary_field_med,field_med,DataField,med,,MULTI_EXIT_DISC is an optional path attribute used to convey preference among multiple entry points into a neighboring AS.,integer,rfc4271,approved,scripts/build_glossary.py
glossary_anomaly_moas,anomaly_moas,AnomalyType,MOAS,,MOAS occurs when multiple ASes originate the same prefix. It can be benign or anomalous depending on authorization and operational context.,Origin Change,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_concept_moas,concept_moas,BGPConcept,MOAS,Multiple Origin AS,"MOAS describes a condition where more than one AS originates the same prefix. It can be benign or anomalous depending on authorization, anycast, multi-homing, and operational context.",BGP安全,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_concept_mrt,concept_mrt,BGPConcept,MRT,Multi-Threaded Routing Toolkit format,MRT is a common format used to store BGP routing table snapshots and update data from collectors.,BGP消息与数据,ripe_ris_docs|bgpstream_docs|context_2026,approved,scripts/build_glossary.py
glossary_field_mrt_file_type,field_mrt_file_type,DataField,mrt_file_type,,MRT file type indicates whether a file is a routing table dump/snapshot or an update stream interval.,"enum(bview,updates,rib,update)",ripe_ris_raw_data|routeviews_archive_index,approved,scripts/build_glossary.py
glossary_field_next_hop,field_next_hop,DataField,next_hop,,NEXT_HOP identifies the next hop IP address used for the route described by a BGP UPDATE.,ip_address,rfc4271,approved,scripts/build_glossary.py
glossary_field_nlri,field_nlri,DataField,nlri,,Network Layer Reachability Information lists prefixes advertised as reachable in a BGP UPDATE message.,list[prefix],rfc4271,approved,scripts/build_glossary.py
glossary_concept_origin_as,concept_origin_as,BGPConcept,Origin AS,Origin ASN,The origin AS is the AS that originates reachability for a prefix and is usually represented by the rightmost AS in a simple AS_PATH.,路径与属性,rfc4271|rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_anomaly_origin_change,anomaly_origin_change,AnomalyType,Origin Change,,Origin change is an observed change in the AS originating a prefix; it is a signal that requires authorization and context checks before labeling as an attack.,Origin Change,rfc6811|bgpshield_2025|context_2026,approved,scripts/build_glossary.py
glossary_field_origin_as,field_origin_as,DataField,origin_as,,AS inferred or recorded as originating the prefix.,integer,rfc4271|rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_field_origin_attribute,field_origin_attribute,DataField,origin_attribute,,The ORIGIN path attribute indicates the origin type of the route information.,"enum(IGP,EGP,INCOMPLETE)",rfc4271,approved,scripts/build_glossary.py
glossary_field_otc_attribute,field_otc_attribute,DataField,otc_attribute,,Only to Customer is an optional transitive BGP path attribute used to mark routes that should subsequently go only to customers.,asn,rfc9234,approved,scripts/build_glossary.py
glossary_case_pakistan_youtube_2008,case_pakistan_youtube_2008,Case,Pakistan Telecom / YouTube Hijack,,case_pakistan_youtube_2008,Prefix Hijack,youtube_hijack_google_2008|context_2026,pending,scripts/build_glossary.py
glossary_anomaly_path_hijack,anomaly_path_hijack,AnomalyType,Path Hijack,,A path hijack or path manipulation event involves suspicious alteration of AS_PATH information while the origin may or may not change.,BGP Hijacking,rfc4271|bgpshield_2025|context_2026,approved,scripts/build_glossary.py
glossary_anomaly_path_manipulation,anomaly_path_manipulation,AnomalyType,Path Manipulation,,"Path manipulation refers to suspicious AS_PATH changes such as forged, removed, or misleading AS segments.",Path Change,rfc4271|bgpshield_2025|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_path_vector,mechanism_path_vector,RoutingMechanism,Path-vector routing,,BGP propagates reachability with AS-level path information so receiving ASes can reason about loops and policy.,RoutingMechanism,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_field_path_attributes,field_path_attributes,DataField,path_attributes,,"Path Attributes carry route attributes such as ORIGIN, AS_PATH, NEXT_HOP, LOCAL_PREF, and others for prefixes in the UPDATE.",list[attribute],rfc4271,approved,scripts/build_glossary.py
glossary_concept_peer,concept_peer,BGPConcept,Peer,BGP peer,A peer is a BGP neighbor that exchanges routes with another BGP speaker or collector.,BGP消息与数据,routeviews_api_doc|ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
glossary_field_peer_asn,field_peer_asn,DataField,peer_asn,,ASN of the peer that provides BGP routes to a collector.,integer,routeviews_api_doc|ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
glossary_datasource_peeringdb,datasource_peeringdb,DataSource,PeeringDB,,"PeeringDB provides network, facility, exchange, and interconnection metadata that can help interpret where and how networks peer.",Interconnection database,peeringdb_api_docs,approved,scripts/build_glossary.py
glossary_concept_prefix,concept_prefix,BGPConcept,Prefix,IP Prefix,"A prefix is an IP address block announced and routed as a unit, usually represented in CIDR notation.",BGP基础,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_field_prefix,field_prefix,DataField,prefix,,IP prefix whose reachability or authorization is being described.,cidr,rfc4271|rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_anomaly_prefix_hijack,anomaly_prefix_hijack,AnomalyType,Prefix Hijack,,A prefix hijack occurs when an AS illegitimately announces reachability for a prefix it does not own or is not authorized to originate.,BGP Hijacking,rfc4271|rfc6811|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_anomaly_prefix_outage,anomaly_prefix_outage,AnomalyType,Prefix Outage,,A prefix outage occurs when reachability for a prefix disappears or sharply degrades across measurement vantage points.,Outage,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_concept_rib,concept_rib,BGPConcept,RIB,Routing Information Base,A RIB is a routing information table containing candidate or selected routes known to a routing process or collector snapshot.,BGP消息与数据,rfc4271|routeviews_api_doc|bgpstream_docs|context_2026,approved,scripts/build_glossary.py
glossary_concept_ripe_ris,concept_ripe_ris,BGPConcept,RIPE RIS,Routing Information Service,RIPE RIS is a RIPE NCC BGP routing data collection platform using route collectors and peers.,BGP消息与数据,ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
glossary_datasource_ripe_ris,datasource_ripe_ris,DataSource,RIPE RIS,,"RIPE RIS is a BGP routing data collection platform with Route Collectors, raw MRT data, and peer metadata.",BGP collector,ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
glossary_datasource_ripestat,datasource_ripestat,DataSource,RIPEstat Data API,,"RIPEstat Data API exposes RIPE NCC Internet resource data, including endpoints relevant to BGP visibility, prefix/origin context, RPKI validation, and routing history.",Internet resource API,ripestat_api_docs|ripe_ris_docs,approved,scripts/build_glossary.py
glossary_concept_roa,concept_roa,BGPConcept,ROA,Route Origin Authorization,"A ROA authorizes an AS to originate a prefix, optionally with a maximum prefix length.",BGP安全,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_field_roa_status,field_roa_status,DataField,roa_status,,Route origin validation result for a prefix-origin pair under available ROA data.,"enum(valid,invalid,not_found)",rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_concept_route_collector,concept_route_collector,BGPConcept,Route Collector,Collector,A route collector receives BGP routes from peers and archives routing information for measurement and analysis.,BGP消息与数据,routeviews_api_doc|ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
glossary_anomaly_route_leak,anomaly_route_leak,AnomalyType,Route Leak,,"A route leak occurs when routes are propagated beyond their intended routing-policy scope, often violating expected provider-customer or peer-peer export behavior.",Policy Violation,rfc7908|rfc9234|beam_2024|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_route_origin_validation,mechanism_route_origin_validation,RoutingMechanism,Route Origin Validation,,"Route Origin Validation checks whether a prefix-origin AS pair is valid, invalid, or not-found under available ROA data.",RoutingMechanism,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_concept_routeviews,concept_routeviews,BGPConcept,RouteViews,University of Oregon RouteViews,RouteViews is a BGP measurement project that collects routing information from global peers and exposes BGP data and APIs.,BGP消息与数据,routeviews_api_doc|context_2026,approved,scripts/build_glossary.py
glossary_datasource_routeviews,datasource_routeviews,DataSource,RouteViews,,"RouteViews collects BGP routing information from global peers and exposes collector, peer, RIB, prefix, ASN, and RPKI-related API endpoints.",BGP collector,routeviews_api_doc|context_2026,approved,scripts/build_glossary.py
glossary_field_routeviews_endpoint,field_routeviews_endpoint,DataField,routeviews_endpoint,,"RouteViews API endpoint identifies which RouteViews API resource was queried, such as collectors, peers, ASN, prefix, RIB, or RPKI endpoints.",string,routeviews_api_doc,approved,scripts/build_glossary.py
glossary_concept_rov,concept_rov,BGPConcept,ROV,Route Origin Validation,ROV validates whether a BGP route's prefix-origin pair is authorized by available RPKI data.,BGP安全,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_concept_rpki,concept_rpki,BGPConcept,RPKI,Resource Public Key Infrastructure,RPKI is an infrastructure for cryptographically attesting Internet number resource holder information and enabling route origin validation.,BGP安全,rfc6811|context_2026,approved,scripts/build_glossary.py
glossary_datasource_rpki_roa,datasource_rpki_roa,DataSource,RPKI / ROA,,RPKI ROA data provides cryptographic statements that authorize an AS to originate a prefix within an allowed prefix length.,Prefix-origin authorization,rfc6811|routeviews_api_doc|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_rpki_to_router_delivery,mechanism_rpki_to_router_delivery,RoutingMechanism,RPKI-to-Router Delivery,,The RPKI-to-Router protocol delivers validated RPKI prefix-origin data and router keys from a cache to routers for validation use.,RoutingMechanism,rfc8210|rfc6480,approved,scripts/build_glossary.py
glossary_field_rpki_rtr_pdu,field_rpki_rtr_pdu,DataField,rpki_rtr_pdu,,RPKI-to-Router PDUs carry validated RPKI cache information such as prefix origin data and router keys to routers.,protocol_message,rfc8210,approved,scripts/build_glossary.py
glossary_field_ris_rrc,field_ris_rrc,DataField,rrc,,RRC identifies a RIPE RIS route collector whose peers contribute BGP data to RIS raw data files and services.,string,ripe_ris_docs|ripe_ris_route_collectors|ripe_ris_raw_data,approved,scripts/build_glossary.py
glossary_fp_short_route_flap,fp_short_route_flap,FalsePositivePattern,Short route flap,,Short-lived route changes or withdrawals may be normal instability rather than an outage or attack.,FalsePositivePattern,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_fp_single_collector_bias,fp_single_collector_bias,FalsePositivePattern,Single collector bias,,"An anomaly seen from one collector or a small peer set may reflect local visibility, policy, or failure rather than a global event.",FalsePositivePattern,routeviews_api_doc|ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
glossary_anomaly_subprefix_hijack,anomaly_subprefix_hijack,AnomalyType,Subprefix Hijack,,"A subprefix hijack occurs when an AS announces a more-specific prefix inside a victim prefix, attracting traffic for that subrange by longest-prefix matching.",BGP Hijacking,rfc6811|bear_2025|context_2026,approved,scripts/build_glossary.py
glossary_field_timestamp,field_timestamp,DataField,timestamp,,"Time when the observation, snapshot, or event occurred.",datetime,bgpstream_docs|context_2026,approved,scripts/build_glossary.py
glossary_field_update_type,field_update_type,DataField,update_type,,Whether a BGP update announces or withdraws reachability.,enum,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_concept_valley_free,concept_valley_free,BGPConcept,Valley-free,Valley-free routing,Valley-free routing describes policy-compliant AS path propagation constrained by provider-customer and peer-peer relationships.,AS关系与路由策略,rfc7908|caida_as_relationships|context_2026,approved,scripts/build_glossary.py
glossary_mechanism_valley_free,mechanism_valley_free,RoutingMechanism,Valley-free Routing,,Valley-free routing models expected AS path export behavior using provider-customer and peer-peer relationships.,RoutingMechanism,rfc7908|caida_as_relationships|beam_2024|context_2026,approved,scripts/build_glossary.py
glossary_concept_vantage_point,concept_vantage_point,BGPConcept,Vantage Point,VP,A vantage point is a measurement position from which BGP reachability or path information is observed.,BGP消息与数据,ripe_ris_docs|context_2026,approved,scripts/build_glossary.py
glossary_case_vodafone_2021_route_leak,case_vodafone_2021_route_leak,Case,Vodafone Idea AS55410 Route Leak,,case_vodafone_2021_route_leak,Route Leak,bgpshield_2025|context_2026,approved,scripts/build_glossary.py
glossary_field_vrp_asn,field_vrp_asn,DataField,vrp_asn,,VRP ASN is the origin AS number authorized in a Validated ROA Payload.,integer,rfc6811,approved,scripts/build_glossary.py
glossary_field_vrp_max_length,field_vrp_max_length,DataField,vrp_max_length,,VRP max length is the maximum prefix length authorized by a ROA-derived validated payload.,integer,rfc6811,approved,scripts/build_glossary.py
glossary_field_vrp_prefix,field_vrp_prefix,DataField,vrp_prefix,,VRP prefix is the IP prefix component of a Validated ROA Payload used in route origin validation.,cidr,rfc6811,approved,scripts/build_glossary.py
glossary_concept_whois_rdap,concept_whois_rdap,BGPConcept,WHOIS / RDAP,WHOIS|RDAP,WHOIS and RDAP provide registration information that can support resource ownership and contact checks.,BGP安全,rfc3912|rfc9082|rfc9083|context_2026,approved,scripts/build_glossary.py
glossary_concept_withdrawal,concept_withdrawal,BGPConcept,Withdrawal,Route withdrawal,A withdrawal removes previously announced reachability for one or more prefixes.,BGP消息与数据,rfc4271|context_2026,approved,scripts/build_glossary.py
glossary_field_withdrawn_routes,field_withdrawn_routes,DataField,withdrawn_routes,,Withdrawn Routes lists prefixes being removed from service in a BGP UPDATE message.,list[prefix],rfc4271,approved,scripts/build_glossary.py
