handoff_id,task_id,task_order,task_type,handoff_status,title,primary_input,primary_input_exists,secondary_input,secondary_input_exists,expected_manual_output,dry_run_command,write_command,verification_command,can_write,requires_human_decision,needs_llm,skip_note,generated_by
handoff_task_session_review_session_001,task_session_review_session_001,1,review_session,ready_for_human,复核 review_session_001,reports/human_review_session_guides/review_session_001.md,True,review_inputs/human_review_session_decision_templates/review_session_001_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_001_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_001,python3 scripts/import_human_review_session_decisions.py --session-id review_session_001 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_002,task_session_review_session_002,2,review_session,ready_for_human,复核 review_session_002,reports/human_review_session_guides/review_session_002.md,True,review_inputs/human_review_session_decision_templates/review_session_002_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_002_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_002,python3 scripts/import_human_review_session_decisions.py --session-id review_session_002 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_003,task_session_review_session_003,3,review_session,ready_for_human,复核 review_session_003,reports/human_review_session_guides/review_session_003.md,True,review_inputs/human_review_session_decision_templates/review_session_003_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_003_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_003,python3 scripts/import_human_review_session_decisions.py --session-id review_session_003 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_004,task_session_review_session_004,4,review_session,ready_for_human,复核 review_session_004,reports/human_review_session_guides/review_session_004.md,True,review_inputs/human_review_session_decision_templates/review_session_004_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_004_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_004,python3 scripts/import_human_review_session_decisions.py --session-id review_session_004 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_005,task_session_review_session_005,5,review_session,ready_for_human,复核 review_session_005,reports/human_review_session_guides/review_session_005.md,True,review_inputs/human_review_session_decision_templates/review_session_005_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_005_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_005,python3 scripts/import_human_review_session_decisions.py --session-id review_session_005 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_006,task_session_review_session_006,6,review_session,ready_for_human,复核 review_session_006,reports/human_review_session_guides/review_session_006.md,True,review_inputs/human_review_session_decision_templates/review_session_006_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_006_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_006,python3 scripts/import_human_review_session_decisions.py --session-id review_session_006 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_007,task_session_review_session_007,7,review_session,ready_for_human,复核 review_session_007,reports/human_review_session_guides/review_session_007.md,True,review_inputs/human_review_session_decision_templates/review_session_007_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_007_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_007,python3 scripts/import_human_review_session_decisions.py --session-id review_session_007 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_008,task_session_review_session_008,8,review_session,ready_for_human,复核 review_session_008,reports/human_review_session_guides/review_session_008.md,True,review_inputs/human_review_session_decision_templates/review_session_008_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_008_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_008,python3 scripts/import_human_review_session_decisions.py --session-id review_session_008 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_009,task_session_review_session_009,9,review_session,ready_for_human,复核 review_session_009,reports/human_review_session_guides/review_session_009.md,True,review_inputs/human_review_session_decision_templates/review_session_009_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_009_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_009,python3 scripts/import_human_review_session_decisions.py --session-id review_session_009 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_010,task_session_review_session_010,10,review_session,ready_for_human,复核 review_session_010,reports/human_review_session_guides/review_session_010.md,True,review_inputs/human_review_session_decision_templates/review_session_010_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_010_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_010,python3 scripts/import_human_review_session_decisions.py --session-id review_session_010 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_011,task_session_review_session_011,11,review_session,ready_for_human,复核 review_session_011,reports/human_review_session_guides/review_session_011.md,True,review_inputs/human_review_session_decision_templates/review_session_011_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_011_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_011,python3 scripts/import_human_review_session_decisions.py --session-id review_session_011 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_session_review_session_012,task_session_review_session_012,12,review_session,ready_for_human,复核 review_session_012,reports/human_review_session_guides/review_session_012.md,True,review_inputs/human_review_session_decision_templates/review_session_012_decisions_template.csv,True,先在 review_inputs/human_review_session_decision_templates/review_session_012_decisions_template.csv 中填写人工判断，再显式导入到 review_inputs/human_review_decisions.csv。,python3 scripts/import_human_review_session_decisions.py --session-id review_session_012,python3 scripts/import_human_review_session_decisions.py --session-id review_session_012 --write,python3 scripts/build_human_review_session_status.py,True,True,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_source_rfc4271,task_source_rfc4271,13,review_source,ready_for_human,按来源复核 rfc4271,reports/human_review_source_matrix_report.md,True,raw/standards/rfc4271.txt,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_rfc6811,task_source_rfc6811,14,review_source,ready_for_human,按来源复核 rfc6811,reports/human_review_source_matrix_report.md,True,raw/standards/rfc6811.txt,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_ripe_ris_docs,task_source_ripe_ris_docs,15,review_source,ready_for_human,按来源复核 ripe_ris_docs,reports/human_review_source_matrix_report.md,True,raw/data_docs/ripe_ris_docs.html,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_caida_as_relationships,task_source_caida_as_relationships,16,review_source,ready_for_human,按来源复核 caida_as_relationships,reports/human_review_source_matrix_report.md,True,raw/data_docs/caida_as_relationships.html,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_routeviews_api_doc,task_source_routeviews_api_doc,17,review_source,ready_for_human,按来源复核 routeviews_api_doc,reports/human_review_source_matrix_report.md,True,raw/data_docs/routeviews_api_doc.html,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_bear_2025,task_source_bear_2025,18,review_source,ready_for_human,按来源复核 bear_2025,reports/human_review_source_matrix_report.md,True,raw/papers/bear_2025.pdf,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_bgpshield_2025,task_source_bgpshield_2025,19,review_source,ready_for_human,按来源复核 bgpshield_2025,reports/human_review_source_matrix_report.md,True,raw/papers/bgpshield_2025.pdf,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_bgpstream_docs,task_source_bgpstream_docs,20,review_source,ready_for_human,按来源复核 bgpstream_docs,reports/human_review_source_matrix_report.md,True,raw/tools_docs/bgpstream_docs.html,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_rfc7908,task_source_rfc7908,21,review_source,ready_for_human,按来源复核 rfc7908,reports/human_review_source_matrix_report.md,True,raw/standards/rfc7908.txt,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_source_rfc9234,task_source_rfc9234,22,review_source,ready_for_human,按来源复核 rfc9234,reports/human_review_source_matrix_report.md,True,raw/standards/rfc9234.txt,True,按来源核验证据后，把实体级人工判断写入 review_inputs/human_review_decisions.csv 或对应 session 模板。,python3 scripts/build_human_review_source_matrix.py,,python3 scripts/build_human_review_source_matrix.py,False,True,False,只做来源定位和人工核验入口整理；证据充分性判断由人工完成。,scripts/build_human_review_handoff.py
handoff_task_validate_input,task_validate_input,23,validate_input,ready_for_human,校验主人工决策输入,review_inputs/human_review_decisions.csv,True,reports/human_review_input_validation_report.md,True,生成 reports/human_review_input_validation_report.md 和 datasets/human_review_input_validation.*，只校验主决策输入。,python3 scripts/build_human_review_input_validation.py,,python3 scripts/build_human_review_decision_audit.py,False,False,False,只做 CSV 结构、枚举、重复项、未知实体和语义边界校验；不判断实体内容。,scripts/build_human_review_handoff.py
handoff_task_audit_decisions,task_audit_decisions,24,audit_decisions,ready_for_human,审计主人工决策文件,review_inputs/human_review_decisions.csv,True,reports/human_review_decision_audit_report.md,True,生成 reports/human_review_decision_audit_report.md 和 datasets/human_review_decision_audit.*，只审计不应用。,python3 scripts/build_human_review_decision_audit.py,,python3 scripts/build_human_review_progress.py,False,False,False,不调用 LLM，不自动审批，不下载新来源。,scripts/build_human_review_handoff.py
handoff_task_apply_decisions_explicit,task_apply_decisions_explicit,25,apply_decisions,ready_for_human,显式应用已审计通过的 approved/rejected 决策,datasets/human_review_decision_audit.jsonl,True,reports/human_review_decision_apply_report.md,True,显式应用已审计通过且不需要 LLM 的 approved/rejected 决策，并生成应用报告。,python3 scripts/apply_human_review_decisions.py,python3 scripts/apply_human_review_decisions.py --write,python3 scripts/run_pipeline.py,True,True,False,只有人工决策审计通过后才可显式运行；needs_semantic_review 继续跳过。,scripts/build_human_review_handoff.py
