action_id,action_order,priority,action_type,status,scope_id,entity_id,entity_type,display_name,review_bucket,source_refs,related_dataset,blocking_reason,suggested_action,needs_llm,skip_reason,generated_by
action_entity_review_field_aggregator,1,3,entity_human_review,open,field_aggregator,field_aggregator,DataField,aggregator,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_datasource_aspa,2,3,entity_human_review,open,datasource_aspa,datasource_aspa,DataSource,ASPA,ready_without_manual_note,arin_aspa_doc|ripe_aspa_doc|rfc6480,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_aspa_path_verification,3,3,entity_human_review,open,mechanism_aspa_path_verification,mechanism_aspa_path_verification,RoutingMechanism,ASPA Path Verification,ready_without_manual_note,arin_aspa_doc|ripe_aspa_doc,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_asrank_rank,4,3,entity_human_review,open,field_asrank_rank,field_asrank_rank,DataField,asrank_rank,ready_without_manual_note,caida_asrank_api,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_asrank_relationship,5,3,entity_human_review,open,field_asrank_relationship,field_asrank_relationship,DataField,asrank_relationship,ready_without_manual_note,caida_asrank_api|caida_as_relationships,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_atomic_aggregate,6,3,entity_human_review,open,field_atomic_aggregate,field_atomic_aggregate,DataField,atomic_aggregate,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_bgp_decision_process,7,3,entity_human_review,open,mechanism_bgp_decision_process,mechanism_bgp_decision_process,RoutingMechanism,BGP Decision Process,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_rib_model,8,3,entity_human_review,open,mechanism_rib_model,mechanism_rib_model,RoutingMechanism,BGP RIB Model,ready_without_manual_note,rfc4271|ripe_ris_raw_data|routeviews_archive_index,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_route_leak_roles_otc,9,3,entity_human_review,open,mechanism_route_leak_roles_otc,mechanism_route_leak_roles_otc,RoutingMechanism,BGP Roles and OTC Route Leak Prevention,ready_without_manual_note,rfc9234,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_update_withdrawal,10,3,entity_human_review,open,mechanism_update_withdrawal,mechanism_update_withdrawal,RoutingMechanism,BGP Update and Withdrawal Propagation,ready_without_manual_note,rfc4271|ripe_ris_raw_data|bgpstream_docs,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_bgp_identifier,11,3,entity_human_review,open,field_bgp_identifier,field_bgp_identifier,DataField,bgp_identifier,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_bgp_role,12,3,entity_human_review,open,field_bgp_role,field_bgp_role,DataField,bgp_role,ready_without_manual_note,rfc9234,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_bgpsec_path_validation,13,3,entity_human_review,open,mechanism_bgpsec_path_validation,mechanism_bgpsec_path_validation,RoutingMechanism,BGPsec Path Validation,ready_without_manual_note,rfc8205|rfc6480,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_datasource_caida_asrank,14,3,entity_human_review,open,datasource_caida_asrank,datasource_caida_asrank,DataSource,CAIDA ASRank,ready_without_manual_note,caida_asrank_api|caida_as_relationships,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_customer_cone_asns,15,3,entity_human_review,open,field_customer_cone_asns,field_customer_cone_asns,DataField,customer_cone_asns,ready_without_manual_note,caida_asrank_api|caida_as_relationships,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_hold_time,16,3,entity_human_review,open,field_hold_time,field_hold_time,DataField,hold_time,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_local_pref,17,3,entity_human_review,open,field_local_pref,field_local_pref,DataField,local_pref,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_med,18,3,entity_human_review,open,field_med,field_med,DataField,med,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_mrt_file_type,19,3,entity_human_review,open,field_mrt_file_type,field_mrt_file_type,DataField,mrt_file_type,ready_without_manual_note,ripe_ris_raw_data|routeviews_archive_index,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_next_hop,20,3,entity_human_review,open,field_next_hop,field_next_hop,DataField,next_hop,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_nlri,21,3,entity_human_review,open,field_nlri,field_nlri,DataField,nlri,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_origin_attribute,22,3,entity_human_review,open,field_origin_attribute,field_origin_attribute,DataField,origin_attribute,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_otc_attribute,23,3,entity_human_review,open,field_otc_attribute,field_otc_attribute,DataField,otc_attribute,ready_without_manual_note,rfc9234,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_path_attributes,24,3,entity_human_review,open,field_path_attributes,field_path_attributes,DataField,path_attributes,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_datasource_peeringdb,25,3,entity_human_review,open,datasource_peeringdb,datasource_peeringdb,DataSource,PeeringDB,ready_without_manual_note,peeringdb_api_docs,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_datasource_ripestat,26,3,entity_human_review,open,datasource_ripestat,datasource_ripestat,DataSource,RIPEstat Data API,ready_without_manual_note,ripestat_api_docs|ripe_ris_docs,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_routeviews_endpoint,27,3,entity_human_review,open,field_routeviews_endpoint,field_routeviews_endpoint,DataField,routeviews_endpoint,ready_without_manual_note,routeviews_api_doc,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_rpki_to_router_delivery,28,3,entity_human_review,open,mechanism_rpki_to_router_delivery,mechanism_rpki_to_router_delivery,RoutingMechanism,RPKI-to-Router Delivery,ready_without_manual_note,rfc8210|rfc6480,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_rpki_rtr_pdu,29,3,entity_human_review,open,field_rpki_rtr_pdu,field_rpki_rtr_pdu,DataField,rpki_rtr_pdu,ready_without_manual_note,rfc8210,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_ris_rrc,30,3,entity_human_review,open,field_ris_rrc,field_ris_rrc,DataField,rrc,ready_without_manual_note,ripe_ris_docs|ripe_ris_route_collectors|ripe_ris_raw_data,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_vrp_asn,31,3,entity_human_review,open,field_vrp_asn,field_vrp_asn,DataField,vrp_asn,ready_without_manual_note,rfc6811,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_vrp_max_length,32,3,entity_human_review,open,field_vrp_max_length,field_vrp_max_length,DataField,vrp_max_length,ready_without_manual_note,rfc6811,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_vrp_prefix,33,3,entity_human_review,open,field_vrp_prefix,field_vrp_prefix,DataField,vrp_prefix,ready_without_manual_note,rfc6811,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_field_withdrawn_routes,34,3,entity_human_review,open,field_withdrawn_routes,field_withdrawn_routes,DataField,withdrawn_routes,ready_without_manual_note,rfc4271,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,优先人工核验 cleaned/parsed/chunk 证据，确认后再决定 approved/rejected。,False,,scripts/build_next_action_queue.py
action_entity_review_concept_announcement,35,4,entity_human_review,open,concept_announcement,concept_announcement,BGPConcept,Announcement,ready_with_manual_note,rfc4271|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_evidence_moas,36,4,entity_human_review,open,evidence_moas,evidence_moas,EvidenceTemplate,anomaly_moas,ready_with_manual_note,rfc6811|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_evidence_origin_change,37,4,entity_human_review,open,evidence_origin_change,evidence_origin_change,EvidenceTemplate,anomaly_origin_change,ready_with_manual_note,rfc6811|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_evidence_path_hijack,38,4,entity_human_review,open,evidence_path_hijack,evidence_path_hijack,EvidenceTemplate,anomaly_path_hijack,ready_with_manual_note,rfc4271|bgpshield_2025|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_evidence_path_manipulation,39,4,entity_human_review,open,evidence_path_manipulation,evidence_path_manipulation,EvidenceTemplate,anomaly_path_manipulation,ready_with_manual_note,rfc4271|bgpshield_2025|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_evidence_prefix_hijack,40,4,entity_human_review,open,evidence_prefix_hijack,evidence_prefix_hijack,EvidenceTemplate,anomaly_prefix_hijack,ready_with_manual_note,rfc6811|bear_2025|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_evidence_prefix_outage,41,4,entity_human_review,open,evidence_prefix_outage,evidence_prefix_outage,EvidenceTemplate,anomaly_prefix_outage,ready_with_manual_note,rfc4271|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_evidence_route_leak,42,4,entity_human_review,open,evidence_route_leak,evidence_route_leak,EvidenceTemplate,anomaly_route_leak,ready_with_manual_note,rfc7908|rfc9234|beam_2024|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_evidence_subprefix_hijack,43,4,entity_human_review,open,evidence_subprefix_hijack,evidence_subprefix_hijack,EvidenceTemplate,anomaly_subprefix_hijack,ready_with_manual_note,rfc6811|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_concept_as,44,4,entity_human_review,open,concept_as,concept_as,BGPConcept,AS,ready_with_manual_note,rfc4271|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_concept_as_relationship,45,4,entity_human_review,open,concept_as_relationship,concept_as_relationship,BGPConcept,AS Relationship,ready_with_manual_note,caida_as_relationships|rfc7908|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_fp_as_relationship_error,46,4,entity_human_review,open,fp_as_relationship_error,fp_as_relationship_error,FalsePositivePattern,AS relationship inference error,ready_with_manual_note,caida_as_relationships|rfc7908|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_concept_as_path,47,4,entity_human_review,open,concept_as_path,concept_as_path,BGPConcept,AS_PATH,ready_with_manual_note,rfc4271|bear_2025|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_field_as_path,48,4,entity_human_review,open,field_as_path,field_as_path,DataField,as_path,ready_with_manual_note,rfc4271|bear_2025|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_as_path_prepending,49,4,entity_human_review,open,mechanism_as_path_prepending,mechanism_as_path_prepending,RoutingMechanism,AS_PATH Prepending,ready_with_manual_note,rfc4271|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_field_as_relationship_sequence,50,4,entity_human_review,open,field_as_relationship_sequence,field_as_relationship_sequence,DataField,as_relationship_sequence,ready_with_manual_note,rfc7908|caida_as_relationships|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_concept_asn,51,4,entity_human_review,open,concept_asn,concept_asn,BGPConcept,ASN,ready_with_manual_note,rfc4271|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_paper_method_bear,52,4,entity_human_review,open,paper_method_bear,paper_method_bear,PaperMethod,BEAR: BGP Event Analysis and Reporting,ready_with_manual_note,bear_2025|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_mechanism_before_after_path_comparison,53,4,entity_human_review,open,mechanism_before_after_path_comparison,mechanism_before_after_path_comparison,RoutingMechanism,Before-after AS path comparison,ready_with_manual_note,bear_2025|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_concept_bgp,54,4,entity_human_review,open,concept_bgp,concept_bgp,BGPConcept,BGP,ready_with_manual_note,rfc4271|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_concept_bgp_session,55,4,entity_human_review,open,concept_bgp_session,concept_bgp_session,BGPConcept,BGP Session,ready_with_manual_note,rfc4271|ripe_ris_docs|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
action_entity_review_concept_bgp_speaker,56,4,entity_human_review,open,concept_bgp_speaker,concept_bgp_speaker,BGPConcept,BGP Speaker,ready_with_manual_note,rfc4271|context_2026,datasets/entity_review_packets.jsonl,实体仍为 pending，需要人工打开证据路径核验。,人工核验非 manual_note 来源；context_2026 只作为范围提示，不作为单独批准依据。,False,,scripts/build_next_action_queue.py
