entity_id,review_decision,reviewer,reviewed_at,decision_note,entity_type,display_name,review_batch,review_bucket,source_paths,cleaned_paths,chunk_sample_ids,decision_instructions
field_aggregator,,,,,DataField,aggregator,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s021_2_002|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
datasource_aspa,,,,,DataSource,ASPA,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/arin_aspa_doc.html|raw/data_docs/ripe_aspa_doc.html|raw/standards/rfc6480.txt,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md|cleaned/standards/rfc6480.md,arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_003|arin_aspa_doc_s001_full_004|arin_aspa_doc_s001_full_005|rfc6480_s002_1_001|rfc6480_s002_1_002|rfc6480_s002_1_003|rfc6480_s003_1_1_001|rfc6480_s004_2_001|rfc6480_s004_2_002|rfc6480_s005_2_1_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_aspa_path_verification,,,,,RoutingMechanism,ASPA Path Verification,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/arin_aspa_doc.html|raw/data_docs/ripe_aspa_doc.html,cleaned/data_docs/arin_aspa_doc.md|cleaned/data_docs/ripe_aspa_doc.md,arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_004|arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_003|arin_aspa_doc_s001_full_005|ripe_aspa_doc_s001_full_007|ripe_aspa_doc_s001_full_008|ripe_aspa_doc_s001_full_010|ripe_aspa_doc_s001_full_009|ripe_aspa_doc_s001_full_001|ripe_aspa_doc_s001_full_006|ripe_aspa_doc_s001_full_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_asrank_rank,,,,,DataField,asrank_rank,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/caida_asrank_api.html,cleaned/data_docs/caida_asrank_api.md,caida_asrank_api_s001_full_002|caida_asrank_api_s001_full_001|caida_asrank_api_s001_full_005|caida_asrank_api_s001_full_006|caida_asrank_api_s001_full_003|caida_asrank_api_s001_full_004|caida_asrank_api_s001_full_007,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_asrank_relationship,,,,,DataField,asrank_relationship,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_002|caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_001|caida_as_relationships_s001_full_003|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_006|caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_009|caida_as_relationships_s001_full_010|caida_as_relationships_s001_full_012,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_atomic_aggregate,,,,,DataField,atomic_aggregate,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s033_5_1_6_001|rfc4271_s066_9_1_4_002|rfc4271_s073_9_2_2_2_003|rfc4271_s076_10_002|rfc4271_s081_6_008|rfc4271_s021_2_002|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s012_4_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_bgp_decision_process,,,,,RoutingMechanism,BGP Decision Process,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s060_9_1_001|rfc4271_s031_5_1_4_001|rfc4271_s021_2_001|rfc4271_s062_9_1_2_001|rfc4271_s073_9_2_2_2_001|rfc4271_s006_1_1_002|rfc4271_s011_3_2_001|rfc4271_s061_9_1_1_001|rfc4271_s063_9_1_2_1_001|rfc4271_s064_9_1_2_2_003|rfc4271_s065_9_1_3_001|rfc4271_s066_9_1_4_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_rib_model,,,,,RoutingMechanism,BGP RIB Model,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/ripe_ris_raw_data.html|raw/data_docs/routeviews_archive_index.html|raw/standards/rfc4271.txt,cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/routeviews_archive_index.md|cleaned/standards/rfc4271.md,rfc4271_s009_3_003|rfc4271_s010_3_1_001|rfc4271_s011_3_2_001|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010|rfc4271_s081_6_003|rfc4271_s081_6_006|rfc4271_s026_4_002|rfc4271_s031_5_1_4_001|rfc4271_s073_9_2_2_2_002|rfc4271_s006_1_1_001|rfc4271_s006_1_1_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_route_leak_roles_otc,,,,,RoutingMechanism,BGP Roles and OTC Route Leak Prevention,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc9234.txt,cleaned/standards/rfc9234.md,rfc9234_s018_8_001|rfc9234_s016_6_001|rfc9234_s008_4_2_002|rfc9234_s014_2_001|rfc9234_s015_4_001|rfc9234_s002_1_001|rfc9234_s005_3_1_001|rfc9234_s005_3_1_002|rfc9234_s006_4_001|rfc9234_s008_4_2_001|rfc9234_s009_5_001|rfc9234_s002_1_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_update_withdrawal,,,,,RoutingMechanism,BGP Update and Withdrawal Propagation,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/ripe_ris_raw_data.html|raw/standards/rfc4271.txt|raw/tools_docs/bgpstream_docs.html,cleaned/data_docs/bgpstream_docs.md|cleaned/data_docs/ripe_ris_raw_data.md|cleaned/standards/rfc4271.md,bgpstream_docs_s001_full_001|rfc4271_s010_3_1_001|rfc4271_s059_9_001|rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s009_3_003|rfc4271_s026_4_002|rfc4271_s069_9_2_1_1_001|rfc4271_s031_5_1_4_001|rfc4271_s022_4_4_001|rfc4271_s048_8_1_2_001|rfc4271_s058_8_2_2_010,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_bgp_identifier,,,,,DataField,bgp_identifier,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s021_2_002|rfc4271_s024_6_001|rfc4271_s037_6_2_001|rfc4271_s081_6_009|rfc4271_s006_1_1_001|rfc4271_s034_5_1_7_001|rfc4271_s043_6_8_001|rfc4271_s043_6_8_002|rfc4271_s052_8_2_1_001|rfc4271_s076_10_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_bgp_role,,,,,DataField,bgp_role,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc9234.txt,cleaned/standards/rfc9234.md,rfc9234_s002_1_001|rfc9234_s005_3_1_001|rfc9234_s006_4_001|rfc9234_s007_4_1_001|rfc9234_s008_4_2_001|rfc9234_s008_4_2_002|rfc9234_s015_4_001|rfc9234_s016_6_001|rfc9234_s017_7_001|rfc9234_s018_8_001|rfc9234_s002_1_002|rfc9234_s003_2_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_bgpsec_path_validation,,,,,RoutingMechanism,BGPsec Path Validation,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc6480.txt|raw/standards/rfc8205.txt,cleaned/standards/rfc6480.md|cleaned/standards/rfc8205.md,rfc6480_s007_2_3_001|rfc6480_s012_4_001|rfc6480_s002_1_003|rfc6480_s005_2_1_002|rfc6480_s008_2_4_001|rfc6480_s010_3_1_001|rfc6480_s015_4_3_001|rfc6480_s016_4_4_001|rfc6480_s035_8_001|rfc6480_s039_11_2_001|rfc6480_s026_7_2_001|rfc6480_s002_1_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
datasource_caida_asrank,,,,,DataSource,CAIDA ASRank,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_001|caida_as_relationships_s001_full_012|caida_as_relationships_s001_full_015|caida_as_relationships_s001_full_002|caida_as_relationships_s001_full_003|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_006|caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_008,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_customer_cone_asns,,,,,DataField,customer_cone_asns,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/caida_as_relationships.html|raw/data_docs/caida_asrank_api.html,cleaned/data_docs/caida_as_relationships.md|cleaned/data_docs/caida_asrank_api.md,caida_as_relationships_s001_full_007|caida_as_relationships_s001_full_008|caida_as_relationships_s001_full_009|caida_as_relationships_s001_full_010|caida_as_relationships_s001_full_011|caida_as_relationships_s001_full_013|caida_as_relationships_s001_full_014|caida_as_relationships_s001_full_015|caida_as_relationships_s001_full_004|caida_as_relationships_s001_full_005|caida_as_relationships_s001_full_012|caida_as_relationships_s001_full_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_hold_time,,,,,DataField,hold_time,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s014_4_2_001|rfc4271_s024_6_001|rfc4271_s037_6_2_001|rfc4271_s040_6_5_001|rfc4271_s058_8_2_2_009|rfc4271_s058_8_2_2_010|rfc4271_s076_10_004|rfc4271_s081_6_009|rfc4271_s022_4_4_001|rfc4271_s058_8_2_2_004|rfc4271_s058_8_2_2_006|rfc4271_s058_8_2_2_007,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_local_pref,,,,,DataField,local_pref,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s026_4_002|rfc4271_s076_10_003|rfc4271_s006_1_1_002|rfc4271_s032_5_1_5_001|rfc4271_s038_6_3_003|rfc4271_s059_9_001|rfc4271_s061_9_1_1_001|rfc4271_s081_6_001|rfc4271_s081_6_008|rfc4271_s010_3_1_001|rfc4271_s014_4_2_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_med,,,,,DataField,med,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s021_2_002|rfc4271_s023_4_5_001|rfc4271_s024_6_001|rfc4271_s038_6_3_001|rfc4271_s038_6_3_002|rfc4271_s038_6_3_003|rfc4271_s058_8_2_2_009|rfc4271_s076_10_003|rfc4271_s081_6_009|rfc4271_s006_1_1_002|rfc4271_s008_2_001|rfc4271_s009_3_003,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_mrt_file_type,,,,,DataField,mrt_file_type,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/ripe_ris_raw_data.html|raw/data_docs/routeviews_archive_index.html,cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/routeviews_archive_index.md,ripe_ris_raw_data_s001_full_001|ripe_ris_raw_data_s001_full_002|routeviews_archive_index_s001_full_001|routeviews_archive_index_s001_full_004|routeviews_archive_index_s001_full_002|routeviews_archive_index_s001_full_003|routeviews_archive_index_s001_full_005,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_next_hop,,,,,DataField,next_hop,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s021_2_001|rfc4271_s024_6_001|rfc4271_s026_4_002|rfc4271_s038_6_3_002|rfc4271_s076_10_003|rfc4271_s076_10_004|rfc4271_s081_6_009|rfc4271_s011_3_2_001|rfc4271_s011_3_2_002|rfc4271_s030_5_1_3_001|rfc4271_s030_5_1_3_002|rfc4271_s030_5_1_3_003,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_nlri,,,,,DataField,nlri,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s021_2_003|rfc4271_s026_4_002|rfc4271_s038_6_3_003|rfc4271_s059_9_001|rfc4271_s012_4_001|rfc4271_s013_4_1_001|rfc4271_s014_4_2_001|rfc4271_s014_4_2_002|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_origin_attribute,,,,,DataField,origin_attribute,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s024_6_001|rfc4271_s038_6_3_001|rfc4271_s081_6_009|rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s015_4_3_003|rfc4271_s019_2_001|rfc4271_s021_2_001|rfc4271_s021_2_002|rfc4271_s021_2_003,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_otc_attribute,,,,,DataField,otc_attribute,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc9234.txt,cleaned/standards/rfc9234.md,rfc9234_s005_3_1_002|rfc9234_s009_5_001|rfc9234_s014_2_001|rfc9234_s015_4_001|rfc9234_s016_6_001|rfc9234_s018_8_001|rfc9234_s018_8_002|rfc9234_s002_1_002|rfc9234_s008_4_2_002|rfc9234_s021_9_2_001|rfc9234_s002_1_001|rfc9234_s003_2_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_path_attributes,,,,,DataField,path_attributes,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s006_1_1_002|rfc4271_s010_3_1_001|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s021_2_002|rfc4271_s021_2_003|rfc4271_s026_4_002|rfc4271_s038_6_3_003|rfc4271_s081_6_001|rfc4271_s015_4_3_003|rfc4271_s038_6_3_001|rfc4271_s047_8_1_1_004,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
datasource_peeringdb,,,,,DataSource,PeeringDB,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/peeringdb_api_docs.yaml,cleaned/data_docs/peeringdb_api_docs.md,peeringdb_api_docs_s002_paths_004|peeringdb_api_docs_s002_paths_011|peeringdb_api_docs_s002_paths_012|peeringdb_api_docs_s002_paths_018|peeringdb_api_docs_s002_paths_033|peeringdb_api_docs_s002_paths_072|peeringdb_api_docs_s002_paths_080|peeringdb_api_docs_s002_paths_096|peeringdb_api_docs_s002_paths_106|peeringdb_api_docs_s002_paths_153|peeringdb_api_docs_s002_paths_170|peeringdb_api_docs_s002_paths_197,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
datasource_ripestat,,,,,DataSource,RIPEstat Data API,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/ripe_ris_docs.html|raw/data_docs/ripestat_api_docs.html,cleaned/data_docs/ripe_ris_docs.md|cleaned/data_docs/ripestat_api_docs.md,ripe_ris_docs_s001_full_001|ripestat_api_docs_s001_full_001|ripestat_api_docs_s001_full_006|ripestat_api_docs_s001_full_002|ripestat_api_docs_s001_full_003|ripestat_api_docs_s001_full_004|ripestat_api_docs_s001_full_005,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_routeviews_endpoint,,,,,DataField,routeviews_endpoint,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/routeviews_api_doc.html,cleaned/data_docs/routeviews_api_doc.md,routeviews_api_doc_s001_full_020|routeviews_api_doc_s001_full_003|routeviews_api_doc_s001_full_004|routeviews_api_doc_s001_full_011|routeviews_api_doc_s001_full_016|routeviews_api_doc_s001_full_017|routeviews_api_doc_s001_full_019|routeviews_api_doc_s001_full_001|routeviews_api_doc_s001_full_002|routeviews_api_doc_s001_full_005|routeviews_api_doc_s001_full_006|routeviews_api_doc_s001_full_007,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
mechanism_rpki_to_router_delivery,,,,,RoutingMechanism,RPKI-to-Router Delivery,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc6480.txt|raw/standards/rfc8210.txt,cleaned/standards/rfc6480.md|cleaned/standards/rfc8210.md,rfc6480_s012_4_001|rfc6480_s007_2_3_001|rfc6480_s010_3_1_001|rfc6480_s002_1_001|rfc6480_s015_4_3_002|rfc6480_s026_7_2_001|rfc6480_s004_2_001|rfc6480_s014_4_2_001|rfc6480_s023_4_001|rfc6480_s038_11_1_001|rfc6480_s039_11_2_001|rfc6480_s002_1_002,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_rpki_rtr_pdu,,,,,DataField,rpki_rtr_pdu,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc8210.txt,cleaned/standards/rfc8210.md,rfc8210_s038_14_001|rfc8210_s013_5_5_001|rfc8210_s014_5_6_001|rfc8210_s018_5_10_001|rfc8210_s019_5_11_001|rfc8210_s023_2_001|rfc8210_s029_9_001|rfc8210_s031_9_2_002|rfc8210_s002_1_001|rfc8210_s004_1_2_001|rfc8210_s007_4_001|rfc8210_s008_5_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_ris_rrc,,,,,DataField,rrc,01_ready_without_manual_note,ready_without_manual_note,raw/data_docs/ripe_ris_docs.html|raw/data_docs/ripe_ris_raw_data.html|raw/data_docs/ripe_ris_route_collectors.html,cleaned/data_docs/ripe_ris_docs.md|cleaned/data_docs/ripe_ris_raw_data.md|cleaned/data_docs/ripe_ris_route_collectors.md,ripe_ris_docs_s001_full_001|ripe_ris_raw_data_s001_full_001|ripe_ris_raw_data_s001_full_002|ripe_ris_route_collectors_s001_full_001|ripe_ris_route_collectors_s001_full_002|ripe_ris_route_collectors_s001_full_003,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_vrp_asn,,,,,DataField,vrp_asn,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc6811.txt,cleaned/standards/rfc6811.md,rfc6811_s003_2_001|rfc6811_s003_2_002|rfc6811_s003_2_003|rfc6811_s004_2_1_001|rfc6811_s001_1_001|rfc6811_s001_1_002|rfc6811_s001_1_003|rfc6811_s002_1_1_001|rfc6811_s005_3_001|rfc6811_s006_4_001|rfc6811_s007_5_001|rfc6811_s008_6_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_vrp_max_length,,,,,DataField,vrp_max_length,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc6811.txt,cleaned/standards/rfc6811.md,rfc6811_s003_2_001|rfc6811_s003_2_002|rfc6811_s004_2_1_001|rfc6811_s003_2_003|rfc6811_s001_1_001|rfc6811_s001_1_002|rfc6811_s001_1_003|rfc6811_s002_1_1_001|rfc6811_s005_3_001|rfc6811_s006_4_001|rfc6811_s007_5_001|rfc6811_s008_6_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_vrp_prefix,,,,,DataField,vrp_prefix,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc6811.txt,cleaned/standards/rfc6811.md,rfc6811_s003_2_001|rfc6811_s003_2_002|rfc6811_s003_2_003|rfc6811_s004_2_1_001|rfc6811_s001_1_001|rfc6811_s001_1_002|rfc6811_s001_1_003|rfc6811_s002_1_1_001|rfc6811_s005_3_001|rfc6811_s006_4_001|rfc6811_s007_5_001|rfc6811_s008_6_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
field_withdrawn_routes,,,,,DataField,withdrawn_routes,01_ready_without_manual_note,ready_without_manual_note,raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,rfc4271_s010_3_1_001|rfc4271_s015_4_3_001|rfc4271_s015_4_3_002|rfc4271_s021_2_002|rfc4271_s021_2_003|rfc4271_s038_6_3_001|rfc4271_s059_9_001|rfc4271_s061_9_1_1_001|rfc4271_s006_1_1_002|rfc4271_s035_6_001|rfc4271_s065_9_1_3_001|rfc4271_s066_9_1_4_001,人工打开 parsed/cleaned/chunk 证据；若实体字段被来源直接支持，可把 review_decision 改为 approved。
concept_announcement,,,,,BGPConcept,Announcement,02_ready_with_manual_note,ready_with_manual_note,../context.md|raw/standards/rfc4271.txt,cleaned/standards/rfc4271.md,context_2026_paper_bear_001|context_2026_as_path_001|context_2026_datasource_001|context_2026_route_leak_001|context_2026_scope_001|rfc4271_s005_1_001|rfc4271_s009_3_002|rfc4271_s011_3_2_001|rfc4271_s045_8_001|rfc4271_s060_9_1_001|rfc4271_s076_10_003|rfc4271_s004_10_001,人工优先核验非 manual_note 来源；context_2026 只作范围提示，不能单独作为批准依据。
evidence_moas,,,,,EvidenceTemplate,anomaly_moas,02_ready_with_manual_note,ready_with_manual_note,../context.md|raw/standards/rfc6811.txt,cleaned/standards/rfc6811.md,context_2026_paper_bear_001|context_2026_route_leak_001|context_2026_scope_001|context_2026_datasource_001|context_2026_as_path_001|rfc6811_s001_1_001|rfc6811_s001_1_002|rfc6811_s003_2_001|rfc6811_s010_8_1_001|rfc6811_s001_1_003|rfc6811_s003_2_002|rfc6811_s005_3_001,人工优先核验非 manual_note 来源；context_2026 只作范围提示，不能单独作为批准依据。
evidence_origin_change,,,,,EvidenceTemplate,anomaly_origin_change,02_ready_with_manual_note,ready_with_manual_note,../context.md|raw/standards/rfc6811.txt,cleaned/standards/rfc6811.md,context_2026_route_leak_001|context_2026_paper_bear_001|context_2026_datasource_001|context_2026_as_path_001|context_2026_scope_001|rfc6811_s001_1_002|rfc6811_s010_8_1_001|rfc6811_s001_1_001|rfc6811_s003_2_001|rfc6811_s006_4_001|rfc6811_s007_5_001|rfc6811_s001_1_003,人工优先核验非 manual_note 来源；context_2026 只作范围提示，不能单独作为批准依据。
evidence_path_hijack,,,,,EvidenceTemplate,anomaly_path_hijack,02_ready_with_manual_note,ready_with_manual_note,../context.md|raw/papers/bgpshield_2025.pdf|raw/standards/rfc4271.txt,cleaned/papers/bgpshield_2025.md|cleaned/standards/rfc4271.md,bgpshield_2025_s010_page_10_002|bgpshield_2025_s002_page_2_001|bgpshield_2025_s007_page_7_002|bgpshield_2025_s001_page_1_003|bgpshield_2025_s003_page_3_002|bgpshield_2025_s004_page_4_002|bgpshield_2025_s004_page_4_003|bgpshield_2025_s012_page_12_003|bgpshield_2025_s005_page_5_001|bgpshield_2025_s008_page_8_001|bgpshield_2025_s001_page_1_001|bgpshield_2025_s004_page_4_001,人工优先核验非 manual_note 来源；context_2026 只作范围提示，不能单独作为批准依据。
